index,name,artist,release_date,length,popularity,danceability,acousticness,energy,tempo,valence
989,The Loco-Motion - Single Version,Various Artists,1963,2.4771,47,0.636,0.674,0.893,129.664,0.887
1157,Are You Lonesome Tonight,Elvis Presley,1963,3.1171,57,0.355,0.918,0.0922,65.952,0.191
1464,In Dreams,Roy Orbison,1963,2.819333333,57,0.495,0.67,0.435,108.189,0.71
1815,All My Loving - Remastered 2009,The Beatles,1963,2.130883333,67,0.416,0.207,0.563,77.56,0.9
2168,It's All Right,The Impressions,1963,2.889333333,47,0.701,0.544,0.414,108.644,0.731
2657,(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas,1963,2.71755,62,0.514,0.513,0.624,166.726,0.755
2790,Love Me Do - Remastered 2009,The Beatles,1963,2.36155,68,0.52,0.386,0.829,147.997,0.744
5248,Pipeline,The Chantays,1963,2.320883333,42,0.444,0.752,0.459,152.111,0.735
5438,Miserlou,Dick Dale,1963,2.226666667,0,0.3,0.00339,0.944,173.494,0.579
74,House Of The Rising Sun,The Animals,1964,4.521333333,70,0.295,0.000385,0.584,117.2,0.228
131,You Really Got Me - Mono Mix,The Kinks,1964,2.23755,71,0.573,0.493,0.939,137.382,0.963
180,A Hard Day's Night - Remastered 2009,The Beatles,1964,2.57,67,0.59,0.137,0.805,138.514,0.797
414,The Sound of Silence - Acoustic Version,Simon & Garfunkel,1964,3.090216667,74,0.525,0.837,0.216,106.761,0.328
642,All Day and All of the Night,The Kinks,1964,2.358433333,68,0.551,0.262,0.86,136.921,0.723
685,Great Balls Of Fire,Jerry Lee Lewis,1964,1.828433333,67,0.4,0.458,0.818,166.287,0.936
734,96 Tears,Various Artists,1964,2.9571,42,0.681,0.0589,0.499,123.458,0.841
758,The Times They Are A-Changin',Bob Dylan,1964,3.200883333,69,0.389,0.887,0.396,171.86,0.585
870,Bye Bye Love,The Everly Brothers,1964,2.381766667,61,0.547,0.724,0.523,169.598,0.89
917,Don't Worry Baby - Remastered 2001,The Beach Boys,1964,2.832216667,64,0.487,0.0666,0.464,121.242,0.851
998,Baby Love,The Supremes,1964,2.634,68,0.595,0.76,0.643,135.633,0.73
1003,Shapes of Things - 2015 Remaster,The Yardbirds,1964,2.432666667,44,0.432,0.249,0.823,132.21,0.381
1227,Eight Days A Week - Remastered 2009,The Beatles,1964,2.726666667,65,0.652,0.412,0.583,138.134,0.744
1621,No Particular Place To Go,Chuck Berry,1964,2.716666667,62,0.596,0.425,0.791,129.237,0.98
1748,It Ain't Me Babe,Bob Dylan,1964,3.574,53,0.572,0.743,0.302,105.54,0.389
2161,Glad All Over - 2019 - Remaster,The Dave Clark Five,1964,2.722116667,45,0.462,0.152,0.803,137.789,0.896
2483,Frankie And Johnny - Live,Sam Cooke,1964,3.002433333,25,0.501,0.399,0.487,109.134,0.575
2506,I Should Have Known Better - Remastered 2009,The Beatles,1964,2.718,61,0.682,0.257,0.444,130.704,0.91
2548,I Only Want To Be With You,Dusty Springfield,1964,2.636666667,58,0.602,0.103,0.684,133,0.961
2862,Do Wah Diddy Diddy,Manfred Mann,1964,2.39,57,0.661,0.262,0.557,125.445,0.957
2886,"Fun, Fun, Fun (Mono)",The Beach Boys,1964,2.3151,51,0.517,0.195,0.796,155.532,0.97
2912,When You Walk In the Room - Mono Version,The Searchers,1964,2.341333333,46,0.487,0.227,0.951,134.323,0.901
3045,Needles and Pins - Mono,The Searchers,1964,2.189333333,57,0.565,0.0546,0.953,124.287,0.887
3073,It's All Over Now - Mono Version,The Rolling Stones,1964,3.440666667,46,0.603,0.0239,0.689,99.088,0.761
3108,These Arms of Mine,Otis Redding,1964,2.57555,61,0.403,0.798,0.284,176.537,0.686
3222,Bits and Pieces - 2019 - Remaster,The Dave Clark Five,1964,1.981766667,37,0.485,0.0225,0.835,143.853,0.974
3265,The Way You Do The Things You Do,The Temptations,1964,2.7624,64,0.618,0.159,0.704,124.218,0.741
3573,Money,The Rolling Stones,1964,2.536433333,19,0.381,0.0166,0.797,137.584,0.883
3591,If I Fell - Remastered 2009,The Beatles,1964,2.324433333,62,0.665,0.68,0.31,108.211,0.568
4586,Rock And Roll Music - Remastered 2009,The Beatles,1964,2.521333333,51,0.457,0.566,0.917,167.092,0.965
4614,You Never Can Tell,Chuck Berry,1964,2.698433333,70,0.525,0.731,0.852,157.404,0.884
4730,Not Fade Away - Mono Version,The Rolling Stones,1964,1.795333333,40,0.75,0.00661,0.826,113.294,0.896
4831,É Proibido Fumar - Versão remasterizada,Roberto Carlos,1964,2.53,41,0.544,0.0994,0.628,147.116,0.871
4,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965,3.71355,77,0.723,0.0383,0.863,136.302,0.931
22,Like a Rolling Stone,Bob Dylan,1965,6.16,74,0.483,0.729,0.721,95.261,0.562
28,My Generation - Stereo Version,The Who,1965,3.311766667,68,0.412,0.308,0.782,96.732,0.705
43,In My Life - Remastered 2009,The Beatles,1965,2.438883333,73,0.688,0.449,0.435,103.239,0.435
170,Yesterday - Remastered 2009,The Beatles,1965,2.094433333,77,0.332,0.879,0.179,96.529,0.315
254,Help! - Remastered 2009,The Beatles,1965,2.326,72,0.534,0.188,0.725,95.003,0.763
322,Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,1965,2.078216667,68,0.425,0.183,0.369,176.625,0.65
326,Ticket To Ride - Remastered 2009,The Beatles,1965,3.161333333,65,0.519,0.0457,0.85,123.419,0.749
338,I Can't Explain - Mono Version,The Who,1965,2.088666667,52,0.572,0.0474,0.688,138.841,0.856
380,Subterranean Homesick Blues,Bob Dylan,1965,2.354883333,57,0.576,0.702,0.727,173.854,0.751
499,Mr. Tambourine Man,The Byrds,1965,2.4911,64,0.456,0.513,0.47,120.336,0.639
529,Unchained Melody,The Righteous Brothers,1965,3.63355,72,0.339,0.396,0.208,98.54,0.288
